City,ComfortableRetirees,DiverseWorkers,ElderMidscaleClass,EliteHouseholds,MassMarkets,ModestFamilies,ProsperousAcheivers,UpscaleMatures,WellheeledAffluents,YoungAffluentMobiles,YoungUpscaleFamilies,YoungUrbanMasses,Total
Manvel,48,36,119,520,698,1,170,60,258,378,384,21,2693
Manville,82,93,231,80,339,61,263,271,120,165,620,614,2939
Many,432,459,246,19,518,121,19,102,9,12,92,46,2075
Many Farms,0,776,0,0,0,0,0,0,0,0,0,0,776
Manzanita,76,25,19,0,3,0,3,26,2,2,4,5,165
Manzanola,48,34,22,0,22,5,2,5,3,2,4,17,164
Maple,20,15,41,3,101,1,11,13,4,11,32,15,267
Maple City,45,79,73,5,51,2,23,143,19,20,19,24,503
Maple Falls,11,93,158,2,370,0,10,10,2,6,70,52,784
Maple Grove,1,4,10,3074,355,0,81,158,729,1837,122,16,6387
Maple Heights,151,1075,1183,25,1385,96,28,125,1,48,529,271,4917
Maple Hill,28,174,110,10,177,9,24,75,4,31,46,78,766
Maple Lake,20,60,139,56,249,0,130,53,16,62,202,35,1022
Maple Park,6,1,31,179,84,0,87,71,24,92,231,22,828
Maple Plain,11,1,30,316,50,0,170,128,45,126,222,86,1185
Maple Shade,94,29,317,217,506,87,811,106,37,233,247,1818,4502
Maple Valley,21,3,29,1209,308,0,698,139,548,1386,1156,78,5575
Maplecrest,11,0,6,1,5,0,1,32,0,1,2,4,63
Maplesville,79,165,76,3,173,3,6,4,2,5,16,17,549
Mapleton,321,164,941,302,565,7,277,420,74,321,564,66,4022
Mapleton Depot,29,78,55,5,59,0,10,9,1,5,8,4,263
Mapleville,2,0,20,43,18,0,95,15,19,57,41,2,312
Maplewood,90,4,132,829,841,2,345,118,761,863,316,195,4496
Maquoketa,269,632,332,18,447,36,49,66,22,13,63,78,2025
Maquon,12,4,47,2,37,0,11,31,0,3,29,4,180
Maramec,9,47,6,0,7,3,1,1,0,1,2,5,82
Marana,273,243,550,268,1152,56,623,348,163,762,271,31,4740
Marathon,388,274,894,71,670,12,226,482,32,135,669,492,4345
