City,ComfortableRetirees,DiverseWorkers,ElderMidscaleClass,EliteHouseholds,MassMarkets,ModestFamilies,ProsperousAcheivers,UpscaleMatures,WellheeledAffluents,YoungAffluentMobiles,YoungUpscaleFamilies,YoungUrbanMasses,Total
Assonet,1,1,16,119,27,0,108,45,138,147,207,10,819
Assumption,19,153,86,16,30,0,10,10,5,12,40,10,391
Astatula,114,91,59,3,118,0,43,87,1,7,14,7,544
Aston,46,9,143,590,303,6,897,474,165,594,633,187,4047
Astor,195,192,133,2,49,2,5,19,1,3,7,6,614
Astoria,1481,1501,2269,332,4359,1024,495,995,34,7376,2684,15515,38065
Atalissa,20,3,26,7,34,0,23,16,2,3,55,2,191
Atascadero,274,145,238,278,962,85,1153,305,340,804,1176,689,6449
Atascosa,61,109,252,8,637,7,13,28,9,23,103,51,1301
Atchison,298,485,261,8,382,74,46,59,17,105,265,560,2560
Atco,68,11,177,674,217,0,295,92,30,370,261,54,2249
Atglen,7,2,29,46,38,0,47,9,11,21,222,64,496
Athelstane,86,39,64,0,24,0,5,7,1,2,3,6,237
Athena,8,1,23,4,8,0,7,13,5,5,196,21,291
Athens,2274,11546,5187,879,10385,10785,1658,2810,796,2996,2784,4541,56641
Atherton,0,0,0,31,0,0,4,0,1101,128,2,0,1266
Athol,314,433,1085,91,1097,124,276,237,58,90,283,125,4213
Atka,0,1,0,0,1,0,0,0,0,0,0,6,8
Atkins,129,464,564,171,313,23,148,62,24,54,132,165,2249
Atkinson,460,103,285,162,120,3,555,142,196,85,378,47,2536
Atlanta,7788,18350,7272,13723,19115,23578,3696,9182,7563,24832,6570,76548,218217
Atlantic,381,559,277,21,423,121,180,188,11,42,91,141,2435
Atlantic Beach,88,2251,306,76,252,664,289,497,780,459,253,225,6140
Atlantic City,1320,1625,192,16,2156,1611,119,76,4,27,179,674,7999
Atlantic Highlands,73,1,23,218,37,0,155,59,353,356,361,157,1793
Atlantic Mine,86,336,70,3,129,3,6,7,1,17,51,14,723
Atmore,261,1832,104,5,452,164,73,45,8,8,111,108,3171
Atoka,527,859,279,324,579,72,73,84,28,285,562,144,3816
Attalla,305,1304,283,7,385,21,10,39,4,4,93,113,2568
Attapulgus,27,234,17,0,34,1,2,1,0,2,7,4,329
Attica,242,558,724,77,1239,41,182,174,38,206,638,307,4426
Attleboro,137,56,1017,622,1279,39,866,488,339,991,878,2164,8876
Attleboro Falls,1,0,5,108,2,0,30,6,30,99,110,1,392
Atwater,494,2096,957,138,1616,205,450,315,36,223,896,702,8128
Atwood,337,225,412,10,130,2,34,55,17,16,74,66,1378
Au Gres,230,114,307,1,79,0,8,28,2,1,6,2,778
Au Sable Forks,46,42,235,2,34,1,5,20,3,21,24,18,451
Au Train,48,17,23,0,7,1,2,5,1,0,5,1,110
Auberry,6,3,162,7,26,0,89,380,9,25,42,28,777
Aubrey,38,52,110,421,1206,0,401,164,95,772,1006,105,4370
Auburn,3558,8651,6429,3727,9891,8981,4020,4200,1912,5977,10623,6489,74458
Auburn Hills,25,505,137,87,1143,607,113,262,33,364,416,1181,4873
Auburn University,1,3,0,0,1,32,0,0,0,0,0,3,40
Auburndale,816,1916,831,620,948,272,540,251,371,653,364,71,7653
Auburntown,6,23,47,1,64,2,6,2,1,5,17,8,182
Audubon,98,187,369,75,319,19,491,243,94,432,712,215,3254
Augusta,5861,14052,3188,1993,4511,7003,1050,2286,794,3079,3865,7399,55081
Aulander,229,311,62,1,44,2,1,1,0,1,2,10,664
Ault,18,33,16,5,384,55,11,8,2,4,15,13,564
Aultman,6,6,17,1,10,1,1,3,0,0,4,3,52
Aumsville,36,297,97,49,261,12,70,88,17,25,144,92,1188
Aurelia,15,8,142,3,43,1,14,34,8,9,44,11,332
Aurora,2891,16524,6622,18962,12060,9546,3767,1777,3266,20820,16690,13084,126009
Austell,94,1522,232,91,3455,867,246,89,39,281,506,1471,8893
Austerlitz,2,0,6,7,1,0,18,22,4,18,3,1,82
Austin,4873,10035,3065,13474,22815,40017,7384,2027,5669,30911,5600,80032,225902
Austinburg,7,17,82,5,80,0,23,37,2,6,53,36,348
Austinville,73,107,62,2,202,1,6,3,1,1,7,14,479
Autaugaville,22,109,50,2,200,7,3,5,1,4,6,7,416
Autryville,87,280,230,16,241,35,15,14,9,8,17,47,999
Auxier,15,74,8,0,7,21,0,1,0,1,2,3,132
Auxvasse,19,147,133,8,239,1,20,23,10,11,22,54,687
Ava,547,839,440,26,421,5,40,75,8,14,131,58,2604
Avalon,59,22,69,36,480,14,187,44,127,40,51,186,1315
Avella,29,54,231,29,178,0,16,75,9,14,54,48,737
Avenal,84,564,6,1,109,122,4,2,2,6,53,242,1195
Avenel,38,2,126,237,199,0,186,36,18,910,588,129,2469
Avenue,3,1,26,7,11,0,90,66,24,24,23,10,285
Avera,14,88,24,3,8,0,2,1,0,1,4,5,150
Averill,2,0,2,0,0,0,0,0,0,0,0,0,4
Averill Park,39,4,132,210,80,0,356,113,94,224,288,59,1599
Avery,43,180,50,2,51,1,17,20,2,4,9,12,391
Avilla,55,14,92,4,517,1,22,39,2,24,162,21,953
Avinger,280,95,46,1,15,1,17,29,1,4,4,11,504
Avis,24,33,98,5,72,6,3,14,5,9,16,29,314
Aviston,6,7,37,120,30,0,43,13,4,36,146,10,452
Avoca,374,225,413,38,552,5,133,70,21,52,201,52,2136
Avon,258,436,1112,4122,1384,102,1821,1045,942,3405,3165,1651,19443
Avon By The Sea,1,1,0,13,12,0,138,100,71,33,87,3,459
Avon Lake,288,299,216,668,269,4,287,304,303,1109,782,171,4700
Avon Park,875,1633,914,8,399,130,110,581,41,24,57,84,4856
Avondale,294,1309,153,919,4557,427,673,74,161,1693,2341,1908,14509
Avondale Estates,6,144,91,0,37,344,2,16,3,43,99,446,1231
Avonmore,12,73,218,9,93,0,28,35,3,8,63,19,561
Awendaw,48,147,58,27,43,0,17,34,41,51,79,10,555
Axis,11,76,19,5,165,0,5,7,1,5,26,8,328
Axson,26,131,22,1,69,7,1,4,1,1,7,2,272
Axtell,51,69,182,16,184,2,41,61,8,24,142,92,872
Axton,115,629,108,11,258,4,4,45,5,8,56,85,1328
Ayden,250,605,192,17,602,63,73,47,5,30,163,119,2166
Aydlett,3,50,31,1,54,0,1,8,0,3,8,8,167
Ayer,54,0,90,176,262,1,33,64,53,277,351,263,1624
Aylett,34,3,126,126,92,0,140,40,13,280,316,12,1182
Aynor,103,466,102,3,193,35,12,12,5,9,27,45,1012
Ayr,12,10,44,2,18,1,5,15,3,4,17,4,135
Ayrshire,13,4,15,4,11,0,2,7,0,0,3,2,61
Azalea,135,26,7,0,10,2,1,5,0,0,2,8,196
Azle,288,909,711,64,1065,77,126,312,177,187,951,472,5339
Aztec,73,202,257,14,2149,26,32,203,2,62,225,113,3358
Azusa,353,337,283,410,2005,71,442,119,97,834,2155,1081,8187
Babb,1,61,37,0,2,0,2,0,0,1,0,2,106
Babbitt,109,72,101,3,15,2,12,109,3,4,22,2,454
Babcock,5,4,18,1,14,0,2,4,2,2,1,2,55
Babson Park,84,147,98,0,145,4,11,30,2,4,8,16,549
Babylon,3,2,64,539,19,0,602,132,242,777,467,39,2886
Backus,100,46,237,1,80,1,18,34,3,5,8,3,536
Bacliff,43,160,35,22,747,74,31,34,4,92,231,125,1598
Baconton,78,154,39,1,244,15,8,9,1,0,8,15,572
Bad Axe,278,584,327,10,125,65,18,68,9,25,83,11,1603
Baden,251,159,429,226,154,29,247,183,83,135,166,58,2120
Badger,18,46,80,6,123,0,24,42,11,22,92,11,475
Bagdad,14,23,43,12,143,1,11,12,3,24,70,395,751
Baggs,0,0,0,0,61,0,0,0,0,16,4,1,82
Bagley,205,329,252,13,207,24,39,81,10,17,67,18,1262
Bagwell,25,28,83,0,35,1,2,1,1,1,11,3,191
Bahama,20,2,50,82,63,0,41,100,71,196,89,22,736
Bailey,117,115,413,97,794,5,607,126,66,399,440,267,3446
Bailey Island,5,1,31,0,12,0,2,22,0,5,6,5,89
Baileys Harbor,28,5,100,3,64,1,32,64,3,22,14,9,345
Baileyton,50,151,54,4,96,3,9,11,5,15,12,12,422
Baileyville,66,92,381,8,81,3,16,30,4,14,67,29,791
Bainbridge,599,2689,616,92,1421,454,178,116,33,141,576,418,7333
Bainbridge Island,47,4,162,309,68,0,488,820,1662,735,757,48,5100
Bainville,1,1,7,0,4,0,1,64,1,1,2,1,83
Baird,75,176,97,7,102,6,18,19,4,6,30,23,563
Bairoil,0,0,3,3,0,0,1,1,1,1,16,3,29
Baisden,20,125,2,0,4,0,0,0,0,0,0,0,151
Baker,482,739,1384,37,1286,157,284,240,61,158,599,412,5839
Baker City,188,447,969,32,251,77,78,404,17,31,199,119,2812
Bakersfield,1981,10087,3999,6591,6595,17800,4743,1133,2179,4376,13086,15335,87905
Bakerstown,0,1,2,11,3,0,15,10,1,3,6,5,57
Bakersville,173,968,199,4,58,3,18,11,1,5,22,47,1509
Bala Cynwyd,1,1,1,229,4,1,94,38,668,572,121,102,1832
Balaton,22,15,135,7,57,4,3,5,3,4,24,2,281
Balch Springs,41,1531,101,18,1490,115,4,0,2,15,158,386,3861
Bald Knob,71,1116,57,1,69,2,2,3,1,1,10,39,1372
Baldwin,586,1383,457,1109,825,185,1419,415,1967,734,1201,254,10535
Baldwin City,14,9,55,55,176,0,219,225,33,140,414,76,1416
Baldwin Park,207,106,317,181,3083,36,375,40,14,480,2433,1867,9139
Baldwin Place,0,0,0,35,0,0,3,2,27,49,4,0,120
Baldwinsville,220,940,607,726,1013,186,357,111,256,639,1346,555,6956
Baldwinville,35,1,166,34,57,0,39,38,6,59,187,16,638
Baldwyn,170,916,206,10,201,48,5,6,2,13,51,5,1633
Balfour,14,5,3,0,4,1,0,1,0,0,1,0,29
Balko,6,7,30,3,61,0,7,10,0,2,5,11,142
Ball,19,232,191,2,384,31,22,5,2,5,77,90,1060
Ball Ground,88,95,137,92,678,7,322,182,34,246,743,27,2651
Ballantine,3,9,110,1,45,1,6,2,3,6,18,4,208
Ballard,127,46,46,0,60,0,1,1,0,2,0,0,283
Ballico,1,4,10,0,37,0,0,2,0,3,32,61,150
Ballinger,269,397,111,3,105,2,11,34,3,2,38,28,1003
Ballston Lake,37,1,184,614,514,0,565,109,394,219,223,237,3097
Ballston Spa,182,134,423,1369,610,63,215,508,337,1660,260,700,6461
Ballwin,94,112,647,1714,730,55,3577,1663,1950,3773,2174,2168,18657
Bally,12,2,70,1,56,0,11,13,2,34,16,5,222
Balmorhea,134,27,3,0,1,20,0,0,0,0,1,0,186
Balsam,2,5,7,0,2,0,0,0,0,0,1,3,20
Balsam Grove,18,63,27,1,12,6,1,6,0,0,2,8,144
Balsam Lake,17,11,155,23,77,2,23,74,10,23,82,24,521
Balta,4,1,6,0,1,0,0,1,0,1,2,1,17
Baltic,43,45,112,55,423,1,300,39,31,119,311,78,1557
Baltimore,10687,40521,3803,1571,8675,13957,4767,1905,1964,13046,10640,21543,133079
Bamberg,534,505,76,2,72,54,18,26,10,10,15,121,1443
Banco,2,1,5,0,7,0,2,7,1,1,4,5,35
Bancroft,122,82,385,10,380,6,54,77,9,18,80,52,1275
Bandera,180,199,1108,7,121,3,33,97,13,9,79,53,1902
Bandon,906,288,190,1,33,12,14,49,4,4,14,146,1661
Bandy,68,195,47,2,61,2,7,7,1,2,7,9,408
Bangor,1072,2647,1000,432,2820,637,427,1287,135,1202,1945,1902,15506
Bangs,26,84,177,1,181,5,18,21,2,5,39,19,578
Banks,151,192,85,155,103,2,289,71,37,50,184,27,1346
Bankston,36,109,30,1,44,0,3,2,0,2,5,4,236
Banner,62,355,59,2,78,15,8,111,2,9,60,23,784
Banner Elk,99,408,230,2,346,15,9,61,1,29,41,202,1443
Banning,607,2645,736,6,594,355,335,638,30,23,117,116,6202
Bannister,24,53,22,1,60,1,5,4,2,3,8,2,185
Bantam,10,0,30,1,15,0,59,96,12,21,75,3,322
Bantry,19,6,16,0,8,1,1,2,0,1,2,1,57
Bar Harbor,37,7,644,10,226,3,53,185,3,107,73,179,1527
Baraboo,274,753,252,104,1324,49,242,289,58,127,333,648,4453
Baraga,28,68,48,7,91,0,2,12,2,2,9,32,301
Barataria,3,6,108,0,102,0,4,6,0,9,12,3,253
Barbeau,6,11,44,1,25,1,2,12,0,1,5,2,110
Barberton,833,2950,627,268,1267,306,913,334,71,125,687,303,8684
Barboursville,237,548,909,151,435,20,230,184,53,125,382,450,3724
Barbourville,152,1528,14,0,80,238,0,0,0,0,2,21,2035
Barclay,2,1,17,3,35,0,5,7,3,3,9,2,87
Barco,13,2,7,0,74,0,4,3,0,17,36,25,181
Bard,3,1,13,0,1,0,0,1,0,0,1,1,21
Bardstown,226,949,816,76,1736,643,253,74,41,109,686,320,5929
Bardwell,149,227,15,3,72,3,11,7,5,1,17,5,515
Bargersville,20,3,92,145,405,0,57,147,49,101,146,135,1300
Barhamsville,4,1,19,5,44,0,15,11,2,23,28,2,154
Baring,41,13,20,0,16,0,4,3,2,3,6,13,121
Bark River,12,59,318,5,205,2,15,36,6,8,54,3,723
Barker,24,24,89,12,114,2,17,30,2,12,108,37,471
Barkhamsted,1,0,7,72,9,0,85,81,55,94,252,6,662
Barksdale,41,4,2,0,2,0,0,20,0,0,0,1,70
Barksdale Afb,0,0,0,8,5,8,1,0,1,6,7,344,380
Barling,91,87,56,19,422,10,15,26,3,15,62,169,975
Barlow,29,50,108,8,26,10,2,13,2,10,11,30,299
Barnard,18,20,50,5,46,1,4,11,1,6,17,14,193
Barnardsville,56,92,173,1,59,1,1,7,1,1,13,73,478
Barnegat,407,25,186,118,801,0,1140,853,15,295,733,67,4640
Barnes,13,5,19,1,10,0,4,2,1,7,5,6,73
Barnes City,2,6,22,3,19,0,4,2,2,2,2,1,65
Barneston,6,4,4,0,8,0,0,2,0,1,2,0,27
Barnesville,294,1041,890,43,1396,405,109,234,83,103,556,244,5398
Barnet,13,13,63,4,28,1,23,88,5,9,46,11,304
Barnett,40,106,55,6,152,0,25,8,2,13,17,7,431
Barneveld,18,3,72,63,97,0,125,73,29,134,185,38,837
Barney,21,90,42,2,94,0,7,10,4,9,11,8,298
Barnhart,20,30,109,88,252,0,330,95,12,323,633,15,1907
Barnhill,2,5,16,0,8,0,1,0,0,1,1,2,36
Barnsdall,34,431,61,2,57,1,5,2,2,2,7,4,608
Barnstable,1,0,3,5,4,0,259,96,17,16,31,3,435
Barnstead,4,0,50,8,25,0,20,22,12,33,42,2,218
Barnum,39,45,216,12,284,0,16,80,12,25,38,15,782
Barnwell,146,877,319,9,351,335,74,41,24,18,55,169,2418
Baroda,11,4,250,6,60,0,13,11,6,23,145,134,663
Barre,459,553,482,120,722,88,1001,313,90,260,436,283,4807
Barren Springs,9,55,52,1,60,0,2,1,0,2,9,5,196
Barrett,36,53,40,2,24,1,0,5,1,1,4,3,170
Barrington,112,209,337,3086,468,103,1882,608,4209,1755,1687,103,14559
Barron,142,165,241,28,174,16,69,35,14,22,94,104,1104
Barronett,8,12,80,2,19,0,2,6,3,4,9,2,147
Barrow,15,43,23,66,8,71,23,9,16,30,376,104,784
Barry,98,81,85,6,248,2,30,36,7,11,73,25,702
Barryton,46,176,184,2,73,2,5,16,1,4,6,10,525
Barrytown,0,0,0,1,1,0,2,3,1,4,3,4,19
Barryville,9,1,27,4,33,0,8,111,2,4,14,29,242
Barstow,370,909,200,243,552,557,178,126,99,118,335,2320,6007
Bartelso,18,4,23,25,34,1,60,36,8,40,38,15,302
Bartlesville,190,2087,1002,173,1394,200,880,1122,87,428,883,449,8895
Bartlett,68,195,293,2390,510,54,606,432,489,1912,1471,101,8521
Bartley,2,3,56,1,11,1,2,2,0,3,7,3,91
Barto,4,4,91,27,161,0,84,174,26,102,297,9,979
Barton,136,148,386,29,328,8,52,30,11,28,106,48,1310
Barton City,17,25,51,0,11,0,2,10,0,1,4,0,121
Bartonsville,3,3,14,9,22,2,15,117,1,10,75,1,272
Bartow,489,2597,395,119,770,337,117,127,57,67,237,157,5469
Basalt,9,4,25,64,69,0,27,63,21,397,505,63,1247
Basco,6,7,28,1,8,0,2,12,1,2,5,1,73
Bascom,16,58,67,2,101,0,4,18,6,3,19,10,304
Basehor,32,2,22,57,164,1,164,125,58,295,278,6,1204
Basile,42,437,15,2,119,0,6,2,1,3,38,9,674
Basin,300,17,21,1,10,0,1,23,1,0,14,19,407
Baskerville,32,57,14,1,33,3,3,10,2,2,13,28,198
Baskin,12,25,69,1,136,0,3,1,2,6,21,6,282
Basking Ridge,2,1,3,883,5,0,682,41,1563,1641,451,1,5273
Basom,43,29,25,6,96,1,36,2,1,17,53,27,336
Bass Harbor,22,35,24,0,10,0,3,1,1,0,1,2,99
Bass Lake,4,1,45,0,13,0,13,61,1,3,18,8,167
Bassett,679,1743,293,7,374,21,21,43,7,12,38,45,3283
Bassfield,46,540,37,0,81,11,0,7,0,1,6,12,741
Bastian,28,10,200,1,68,1,3,8,1,3,22,9,354
Bastrop,888,2419,1177,46,1808,428,552,216,216,338,668,585,9341
Basye,11,14,78,7,52,3,20,11,8,2,20,24,250
Batavia,530,1891,1010,2494,2296,798,1134,974,885,1865,1821,1449,17147
Batchelor,14,88,131,1,57,2,4,6,1,6,27,27,364
Batchtown,7,3,85,0,12,0,1,17,0,1,3,9,138
Bates,0,0,0,0,0,0,0,0,0,0,0,0,0
Bates City,4,6,55,23,41,0,114,145,12,32,227,9,668
Batesburg,124,797,255,10,439,19,12,82,12,15,152,221,2138
Batesland,2,34,1,0,0,35,0,0,0,0,0,2,74
Batesville,1114,3198,1563,219,1252,776,447,280,136,246,881,679,10791
Bath,651,865,1957,493,1764,115,537,698,192,356,1185,1091,9904
Bath Springs,61,68,11,2,28,0,1,3,0,0,5,4,183
Bathgate,2,4,14,0,2,0,3,9,2,1,3,1,41
Baton Rouge,5432,7297,2816,2112,14490,12098,2750,3457,2954,4849,7709,13142,79106
Batson,5,168,24,1,18,0,0,2,0,1,7,1,227
Battle Creek,1071,4451,1485,578,1434,1841,2228,1968,794,279,2569,1180,19878
Battle Ground,171,332,359,269,1524,193,613,786,309,905,687,203,6351
Battle Lake,72,66,366,2,63,1,36,34,7,6,69,8,730
Battle Mountain,44,4,95,25,158,6,73,13,14,34,501,118,1085
Battleboro,28,141,220,8,120,26,30,48,5,36,134,73,869
Battletown,23,38,53,5,29,0,27,10,1,4,18,5,213
Baudette,175,88,189,4,87,6,18,19,7,6,53,38,690
Bauxite,20,25,41,7,460,9,22,7,2,88,107,42,830
Baxley,187,1428,304,22,869,106,29,36,18,27,219,42,3287
Baxter,391,1136,705,55,569,130,221,98,28,97,384,194,4008
Baxter Springs,174,546,133,6,226,15,12,11,7,6,18,21,1175
Bay,29,275,8,1,82,6,1,1,0,2,19,74,498
Bay City,2381,5827,2950,313,1420,905,1377,1762,325,465,1867,667,20259
Bay Minette,100,676,545,61,1293,106,194,174,56,116,369,109,3799
Bay Port,80,68,31,1,26,0,4,10,1,1,5,3,230
Bay Saint Louis,280,1324,257,17,702,97,79,40,20,20,174,234,3244
Bay Shore,352,254,320,2519,1459,33,1380,195,517,1315,875,901,10120
Bay Springs,73,669,92,0,213,0,1,4,0,1,5,3,1061
Bay Village,9,3,266,590,160,0,177,474,205,761,513,21,3179
Bayard,482,162,260,12,78,7,28,62,9,13,47,103,1263
Bayboro,274,55,82,3,102,2,3,6,0,2,12,15,556
Bayfield,248,189,332,54,217,8,156,197,24,310,482,140,2357
Baylis,9,13,62,1,16,0,1,7,1,1,2,3,116
Bayonne,1169,342,1627,289,3420,61,573,454,26,773,1950,2681,13365
Bayou La Batre,38,105,81,0,122,0,2,1,1,4,11,18,383
Bayport,65,7,162,272,248,3,313,78,378,247,139,86,1998
Bayside,191,8,725,363,312,2,3178,824,838,2537,985,677,10640
Baytown,211,2215,683,1590,2223,1836,413,946,936,2232,4114,2086,19485
Bayview,26,12,43,0,12,0,3,9,2,1,3,0,111
Bayville,62,52,221,650,368,16,704,592,397,511,1372,203,5148
Bazine,5,4,50,1,10,0,6,5,1,1,6,13,102
Beach,261,15,11,1,16,1,1,3,1,3,5,14,332
Beach City,31,15,63,3,345,4,19,12,1,4,42,33,572
Beach Haven,18,6,142,14,99,0,283,735,201,138,162,89,1887
Beach Lake,41,9,72,2,61,0,12,131,1,16,48,9,402
Beachwood,286,292,699,994,1188,10,2028,853,522,391,1048,889,9200
Beacon,197,7,256,148,359,0,599,77,114,741,1144,281,3923
Beacon Falls,8,0,117,120,101,0,324,76,47,153,219,62,1227
Beale Afb,4,6,0,0,14,4,0,1,0,2,3,120,154
Bealeton,17,150,22,274,181,25,167,81,42,171,375,61,1566
Beallsville,20,81,116,27,176,3,9,17,57,19,30,21,576
Beals,48,26,20,2,14,0,1,2,0,1,3,1,118
Beaman,3,3,17,1,22,0,3,4,1,4,35,3,96
Bean Station,90,975,185,3,121,6,2,7,1,1,13,8,1412
Bear,72,301,172,1655,1181,19,961,199,295,847,1381,537,7620
Bear Branch,7,51,3,0,15,0,0,0,0,0,0,0,76
Bear Creek,121,267,340,35,242,8,15,41,11,42,102,55,1279
Bear Lake,96,87,359,5,113,3,29,101,5,7,18,16,839
Bear Mountain,0,0,0,0,0,0,0,0,1,1,0,0,2
Bearcreek,11,3,41,0,9,0,1,2,0,2,2,2,73
Bearden,36,316,46,0,54,1,1,1,0,2,7,9,473
Beardsley,21,6,7,1,21,0,6,15,2,2,15,2,98
Beardstown,48,747,79,22,185,118,57,42,15,27,56,108,1504
Bearsville,31,1,35,1,9,0,14,95,9,23,25,32,275
Beasley,28,92,59,20,148,8,17,12,17,18,53,21,493
Beason,1,1,12,2,7,0,8,19,3,4,21,10,88
Beatrice,686,919,363,49,734,129,35,250,22,111,57,76,3431
Beattie,18,4,37,1,16,0,3,4,1,1,14,7,106
Beatty,120,56,16,0,10,10,1,2,1,1,2,10,229
Beattyville,69,1117,32,0,59,83,2,3,2,1,1,8,1377
Beaufort,671,1898,1603,261,3051,283,472,825,126,633,771,2554,13148
Beaumont,1582,8296,2759,1387,4958,1932,1736,2978,332,2989,3837,3478,36264
Beauty,11,117,2,0,2,1,0,0,0,0,0,1,134
Beaver,541,1727,789,206,907,84,425,549,128,225,493,307,6381
Beaver City,110,19,26,1,10,3,3,5,1,0,2,3,183
Beaver Creek,4,3,24,2,27,0,4,2,2,3,65,2,138
Beaver Crossing,13,9,16,12,52,1,10,7,3,9,21,19,172
Beaver Dam,395,1847,1053,169,592,262,178,336,45,257,596,760,6490
Beaver Dams,64,15,113,20,202,0,20,19,26,31,163,21,694
Beaver Falls,846,906,1212,188,701,419,170,247,160,414,509,326,6098
Beaver Island,3,1,181,0,1,0,1,1,0,0,0,0,188
Beaver Meadows,21,50,177,9,81,0,20,13,2,6,18,6,403
Beaver Springs,65,73,32,9,33,9,8,6,4,5,14,42,300
Beavercreek,9,1,113,42,33,1,105,239,65,78,154,5,845
Beaverdam,11,5,50,172,151,0,119,106,23,89,173,16,915
Beaverton,1426,3819,3887,1187,5011,3897,1033,1689,2788,2964,2608,10431,40740
Beavertown,19,104,81,2,192,3,13,7,2,3,13,17,456
Beaverville,16,17,53,4,13,1,6,2,1,1,4,6,124
Beccaria,7,8,6,0,1,0,0,0,0,0,0,0,22
Bechtelsville,7,2,21,50,118,0,98,81,10,96,261,15,759
Becker,15,4,59,358,338,0,132,50,28,105,425,63,1577
Becket,16,94,82,7,42,0,21,107,2,23,52,14,460
Beckley,1863,3100,892,34,457,194,252,273,100,57,498,463,8183
Beckville,44,10,64,9,174,0,13,15,6,13,187,33,568
Beckwourth,28,8,14,0,3,1,2,1,1,0,2,1,61
Bedford,1991,5067,5866,1995,5215,1795,2731,2155,3065,3352,3482,3886,40600
Bedford Hills,24,2,56,59,187,1,69,28,202,124,82,169,1003
